index,lamost,RA,DEC,snr,snrr,Teff,Teff_err,logg,logg_err,Fe_H,Fe_H_err,RV,RV_err,sigma,sig_err
     27,J035647.65+533333.9,     59.1979256,     53.5598602,     42.2821693,    209.2400055,   3591.6267090,     29.2701130,      4.7803016,      0.0617709,     -0.1771297,      0.1103640,     65.6424103,      6.3920102,     40.1390343,      7.6696782
     28,J225559.78+174842.3,    343.9993591,     17.8110638,     45.3087578,    238.2200012,   3611.0417480,     29.3196869,      4.7805839,      0.0620206,     -0.2141739,      0.1124452,     50.5199471,      6.3514299,     48.4513588,      9.1366415
     29,J073522.05+545058.9,    113.8411331,     54.8497124,     27.8746338,    133.2799988,   3542.5283203,     32.9291420,      4.8582363,      0.0644520,     -0.4368897,      0.1767631,     57.5706444,     10.0444117,     71.6643219,     11.9989376
     30,J111102.83+302639.6,    167.7608643,     30.4446449,     30.6680870,    178.1600037,   3562.8925781,     32.5761070,      4.8610563,      0.0648086,     -0.2832175,      0.1459171,     62.5023384,      7.9441738,     52.9996567,     10.4761257
     31,J010641.47+151620.9,     16.6729622,     15.2728004,     47.9606323,    298.6600037,   3483.0178223,     24.1970425,      4.8378577,      0.0490513,     -0.2094578,      0.1117091,    100.3350906,      5.7397199,     46.3805771,      9.2748508
     32,J054130.73+532918.3,     85.3780441,     53.4893570,     51.3934860,    472.1199951,   3666.0112305,     29.7120171,      4.7341113,      0.0627640,     -0.2083978,      0.1059075,     75.8985138,      6.3155360,     53.1155548,      8.4226332
     33,J053638.46+111748.7,     84.1602631,     11.2968864,     17.0802612,    197.4900055,   3372.7763672,      6.0983205,      4.8863635,      0.0451011,     -0.4867686,      0.2137379,     98.5514221,     10.1787357,     75.4055176,     12.1070566
     34,J034345.24+163959.8,     55.9385338,     16.6672478,     38.3219299,    121.8099976,   3573.9396973,     29.6646671,      4.7976432,      0.0617196,     -0.2011049,      0.1315965,    117.5403976,      7.4353309,     56.0959778,      9.7496805
     36,J073456.20+144555.4,    113.7346039,     14.7650576,      5.5212045,     21.6499996,   3505.4335938,      2.3350978,      4.8239870,      0.0452942,      0.4029435,      0.1556473,    141.2004395,     19.9034786,     74.4496307,     23.3291206
     37,J145429.46+160603.8,    223.6218414,     16.1010609,     34.1230888,    464.0199890,   3477.6118164,     25.8985367,      4.8148341,      0.0498162,     -0.3466768,      0.1506868,     71.8235168,      7.4202137,     57.1767426,      9.3835068
