,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name,Teff_err,logg_err,Fe_H_err
43,Ross 388,77.06320833333332,15.436333333333334,M3.0V,3412,5.010000228881836,-0.09000000357627869,Pass2018,51.0,0.07,0.16
44,GJ169,67.25051557,21.92269973,M0.0,3901.0,4.63,0.41999998688697815,Mald2020*,71.0,0.15,0.0
45,GL 239,99.295,17.56482,M0.0Ve,3801,4.860000133514404,-0.3400000035762787,Yee2017,60.0,0.05,0.05
46,HD 112300,193.902,3.397611111111111,M3III,3684,1.2999999523162842,-0.14000000059604645,STELIB,0.0,0.0,0.0
47,HD 209290,330.54281,1.40023,M0.5V,3848,4.739999771118164,0.019999999552965164,Yee2017,60.0,0.05,0.05
48,GJ 1006B,4.0673,19.86402,dM4.0,3323,5.03000020980835,0.07999999821186066,Schw2019,51.0,0.07,0.16
49,HIP 109388,332.4181,-4.64074,M3.5V,3530,4.78000020980835,0.3700000047683716,Yee2017,60.0,0.05,0.05
50,G 005-032,50.62295833333333,11.63,M2.5V,3412,5.019999980926514,-0.10999999940395355,Pass2018,51.0,0.07,0.16
51,LP 229-017,278.5222083333333,40.109833333333334,M3.5V,3392,4.980000019073486,0.09000000357627869,Pass2018,51.0,0.07,0.16
52,LP 670-017,158.55604166666666,-9.328583333333333,M3.0V,3457,4.949999809265137,-0.029999999329447746,Pass2018,51.0,0.07,0.16
53,HIP 1532,4.77318,-9.96485,M0V,4039,4.710000038146973,-0.3700000047683716,Yee2017,60.0,0.05,0.05
54,HD173740,280.69541666666663,59.62683333333334,M5 V,3365,4.929999828338623,-0.5400000214576721,MILES1,0.0,0.0,0.0
55,Wolf 433,189.51099999999997,11.782833333333334,M3.0V,3429,4.960000038146973,0.03999999910593033,Pass2018,51.0,0.07,0.16
56,HD175865,283.83375,43.94608333333333,M5 III,3420,0.5,0.14000000059604645,MILES1,0.0,0.0,0.0
57,LSPM J0840+3127,129.82075,31.50963888888889,M3.5V,3381,5.019999980926514,-0.03999999910593033,Pass2018,51.0,0.07,0.16
58,GJ399,159.91901791,-6.92375046,M2.5,3542.0,4.8,-0.05,Mald2020,68.0,0.05,0.09
59,LHS1731,75.83368426,-17.37353407,M3.0,3401.0,4.97,-0.22,Mald2020,68.0,0.09,0.09
60,HD 238090,182.89024999999998,54.57511111111111,M0.0V,3923,4.699999809265137,-0.009999999776482582,Pass2018,51.0,0.07,0.16
61,HD 148783,247.16049999999996,41.88169444444444,M6IIIvar,3250,0.20000000298023224,-0.019999999552965164,STELIB,0.0,0.0,0.0
62,2M J21471744-0444406,326.61479166666663,-4.819055555555555,M4.5V,3273,5.099999904632568,-0.10999999940395355,Pass2018,51.0,0.07,0.16
63,Gl 548A,216.43115,23.61708,dM0.0,4024,4.639999866485596,0.17000000178813934,Schw2019,51.0,0.07,0.16
64,Gl569A,223.62181644,16.10105523,M2.0,3596.0,4.77,-0.03,Mald2020,68.0,0.05,0.09
65,Ross 686,134.99016666666662,5.3069444444444445,M3.0V,3424,4.96999979019165,0.05000000074505806,Pass2018,51.0,0.07,0.16
66,Wolf 1056,9.539541666666665,30.528583333333334,M2.5V,3537,4.889999866485596,-0.03999999910593033,Pass2018,51.0,0.07,0.16
67,GJ1097,112.18932929,-3.29814053,M3.0,3423.0,4.88,-0.01,Mald2020,68.0,0.08,0.09
68,Gl87,33.08744774,3.5756196000000005,M2.0,3568.0,4.81,-0.11,Mald2020,68.0,0.05,0.09
69,TYC743-1836-1,94.87290514,13.95082423,M0.0,3909.0,4.64,-0.09,Mald2020,70.0,0.07,0.09
70,V2689 Ori,83.90633333333332,11.318277777777778,M0.0V,4075,4.650000095367432,0.03999999910593033,Pass2018,51.0,0.07,0.16
71,LSPM J2146+3813,326.59197,38.21805,dM4.0,3307,5.059999942779541,-0.029999999329447746,Schw2019,51.0,0.07,0.16
72,Gl 96,35.56102,47.88003,dM0.5,3935,4.670000076293945,0.07000000029802322,Schw2019,51.0,0.07,0.16
73,GJ 4247,330.30468,28.30692,dM4.0,3267,5.119999885559082,-0.1899999976158142,Schw2019,51.0,0.07,0.16
74,GQ And,4.4132083333333325,43.94022222222222,M3.5V,3283,5.110000133514404,-0.1899999976158142,Pass2018,51.0,0.07,0.16
75,GJ4057,276.26997638,24.63457793,M0.0,3876.0,4.7,-0.19,Mald2020,69.0,0.06,0.09
76,GJ 2128,258.97675,8.074972222222222,M2.0V,3544,4.909999847412109,-0.10000000149011612,Pass2018,51.0,0.07,0.16
77,GL 338B,138.60283,52.68637,M0V,3867,4.710000038146973,-0.15000000596046448,Yee2017,60.0,0.05,0.05
78,GJ 1151,177.52116666666666,48.46219444444445,M4.5V,3211,5.110000133514404,0.0,Pass2018,51.0,0.07,0.16
79,GJ725A,280.69460356,59.63039216,M3.0,3374.0,5.01,-0.25,Mald2020,68.0,0.1,0.09
80,GJ 3988,255.84951,51.40635,dM4.5,3243,5.079999923706055,0.05000000074505806,Schw2019,51.0,0.07,0.16
81,G 207-019,286.9723333333333,32.25391666666667,M3.0V,3439,4.96999979019165,-0.03999999910593033,Pass2018,51.0,0.07,0.16
82,GJ 1207,254.2739,-4.34898,dM3.5,3284,5.090000152587891,-0.10000000149011612,Schw2019,51.0,0.07,0.16
83,G 137-084,242.12433333333328,9.39475,M3.0V,3455,4.980000019073486,-0.09000000357627869,Pass2018,51.0,0.07,0.16
84,Gl 701,271.28158,-3.03132,dM1.0,3663,4.860000133514404,-0.20000000298023224,Schw2019,51.0,0.07,0.16
85,GJ412A,166.36907492,43.5267754,M0.5,3634.0,4.87,-0.37,Mald2020,68.0,0.04,0.09
86,GJ 625,246.2645,54.339111111111116,M1.5V,3516,4.980000019073486,-0.27000001072883606,Pass2018,51.0,0.07,0.16
87,BD+11 2576,202.30570833333329,10.454472222222222,M0.5V,3704,4.820000171661377,-0.15000000596046448,Pass2018,51.0,0.07,0.16
88,LSPM J0754+0832,118.42433333333331,8.583,M2.5V,3483,4.960000038146973,-0.12999999523162842,Pass2018,51.0,0.07,0.16
89,Gl 471,187.81584,8.81061,dM0.5,3914,4.710000038146973,-0.07000000029802322,Schw2019,51.0,0.07,0.16
