,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
227,GJ 1227,275.5657916666666,62.036249999999995,M4.0V,3227,5.1,-0.01,Pass2018
228,G 021-013,275.8198333333333,1.6775277777777777,M2.0V,3514,4.93,-0.11,Pass2018
229,LP 570-092,277.62316666666663,6.823527777777778,M1.0V,3804,4.71,0.06,Pass2018
230,G 205-028,277.86354166666666,40.67586111111111,M3.5V,3423,4.99,-0.05,Pass2018
231,LP 229-017,278.5222083333333,40.109833333333334,M3.5V,3392,4.98,0.09,Pass2018
232,BD+45 2743,278.7147499999999,45.731972222222225,M0.5V,3915,4.69,0.05,Pass2018
233,Ross 149,278.89724999999993,13.594722222222222,M4.0V,3301,5.07,-0.05,Pass2018
234,BD-13 5069,280.01258333333334,-13.39811111111111,M1.0V,3788,4.72,0.06,Pass2018
235,Ross 145,280.34391666666664,31.814416666666666,M3.0V,3473,4.95,-0.06,Pass2018
236,V816 Her,280.5039166666666,13.889944444444444,M4.0V,3254,5.11,-0.11,Pass2018
237,G 155-042,281.77641666666665,-14.600249999999999,M2.5V,3500,4.94,-0.09,Pass2018
238,HD 229793,282.78299999999996,16.561222222222224,M0.0V,3884,4.71,-0.02,Pass2018
239,BD+05 3993,284.3035416666666,5.8803888888888896,M0.5V,3913,4.68,0.08,Pass2018
240,G 141-057,285.60591666666664,3.37625,M3.0V,3473,4.95,-0.07,Pass2018
241,Ross 730,286.5982916666666,20.860805555555558,M2.0V,3532,4.95,-0.21,Pass2018
242,HD 349726,286.63008333333335,20.849805555555555,M2.0V,3535,4.94,-0.2,Pass2018
243,G 207-019,286.9723333333333,32.25391666666667,M3.0V,3439,4.97,-0.04,Pass2018
244,GJ 1232,287.2813333333333,17.640138888888888,M4.5V,3240,5.08,0.06,Pass2018
245,V1428 Aql,289.03012499999994,5.133638888888889,M2.5V,3557,4.86,0.0,Pass2018
246,GJ 1235,290.2331666666666,20.829666666666668,M4.5V,3249,5.09,0.02,Pass2018
247,GJ 1236,290.3104166666667,7.008916666666667,M3.0V,3369,5.05,-0.16,Pass2018
248,Ross 164,291.12612499999994,28.323138888888888,M3.0V,3405,5.0,0.0,Pass2018
249,BD+04 4157,293.469875,4.548388888888889,M0.0V,4054,4.69,-0.2,Pass2018
250,NLTT 48567,300.0712083333333,0.22519444444444445,M2.0V,3562,4.91,-0.13,Pass2018
251,LTT 15944,304.502375,15.795333333333334,M2.5V,3514,4.91,-0.04,Pass2018
252,GJ 793,307.5879166666667,65.39658333333334,M2.5V,3475,4.96,-0.08,Pass2018
253,GJ 1254,308.348125,61.70275,M4.0V,3368,4.98,0.14,Pass2018
254,GJ 1256,309.9604166666666,15.444944444444445,M4.5V,3236,5.09,0.03,Pass2018
255,GJ 797B,310.00562499999995,19.844749999999998,M2.5V,3475,4.96,-0.07,Pass2018
256,BD+44 3567,311.13041666666663,44.44155555555555,M1.5V,3591,4.89,-0.14,Pass2018
257,LP 816-060,312.91125,-17.035333333333334,M4.0V,3313,5.06,-0.01,Pass2018
258,BD+61 2068,313.2499583333333,62.08969444444445,M0.5V,3828,4.71,0.03,Pass2018
259,GJ 810A,313.69287499999996,-14.099333333333334,M4.0V,3372,5.02,0.01,Pass2018
260,Wolf 896,313.977125,-10.515361111111112,M2.5V,3523,4.89,0.0,Pass2018
261,Wolf 906,315.2813749999999,-6.38413888888889,M2.5V,3521,4.9,-0.05,Pass2018
262,2M J21054537+5015435,316.3085416666666,50.19777777777777,M3.5V,3543,4.83,0.14,Pass2018
263,2M J21124559-0719558,317.97774999999996,-7.398583333333334,M3.5V,3471,4.96,-0.07,Pass2018
264,LP 397-041,318.62649999999996,25.72772222222222,M3.0V,3657,4.69,0.28,Pass2018
265,LSPM J2116+0234,318.9124583333333,2.5135277777777776,M3.0V,3475,4.95,-0.05,Pass2018
266,GSC 02187-00512,320.345625,22.863333333333333,M1.0V,3705,4.83,-0.19,Pass2018
267,Wolf 926,323.57462499999997,51.466861111111115,M3.0V,3484,4.92,0.0,Pass2018
268,LSPM J2146+3813,326.4265416666666,38.14313888888889,M4.0V,3304,5.06,-0.01,Pass2018
269,Wolf 940,326.4667083333333,-0.24986111111111112,M4.0V,3346,5.02,0.05,Pass2018
270,G 264-012,326.5813333333333,66.7295,M4.0V,3355,5.01,0.05,Pass2018
271,2M J21471744-0444406,326.61479166666663,-4.819055555555555,M4.5V,3273,5.1,-0.11,Pass2018
272,Wolf 953,329.16258333333326,8.061111111111112,M1.5V,3858,4.62,0.34,Pass2018
273,LP 819-017,330.28687499999995,-19.560222222222222,M3.5V,3431,4.97,-0.01,Pass2018
274,BD+00 4810,330.3366666666666,1.321388888888889,M0.5V,3914,4.69,0.05,Pass2018
