,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
79,HD 199255,313.94606,7.66625,G5,5027,3.29,-0.05,Yee2017
80,HD 199381,314.19771,1.71518,K0III,4844,3.19,0.17,Yee2017
81,HD 200964,316.66601,3.80312,G8IV,4983,3.22,-0.07,Yee2017
82,HD 201924,317.79523,45.45591,K2,5401,4.47,0.05,Yee2017
83,HD 202575,319.13528,9.39383,K3V,4730,4.5,-0.02,Yee2017
84,HD 203471,320.3933,28.56468,G5V,5425,3.72,-0.02,Yee2017
85,HD 203473,320.57864,5.02359,G6V,5781,4.11,0.19,Yee2017
86,HD 20367,49.41686,31.12704,F8V,6094,4.46,0.17,Yee2017
87,HD 206635,325.85558,1.80091,K0V,4944,3.65,-0.18,Yee2017
88,HD 207077,326.68353,-8.00718,G8IV/V,5068,3.27,-0.31,Yee2017
89,HD 208313,328.68766,32.32857,K1,5016,4.51,0.02,Yee2017
90,HD 209393,330.52246,44.34317,G5,5651,4.57,-0.14,Yee2017
91,HD 210373,332.41456,22.2422,K1IV,4876,3.15,0.21,Yee2017
92,HD 211681,331.70452,85.40937,G5,5710,4.1,0.35,Yee2017
93,HD 215049,340.71769,-27.88689,G8IV,5109,3.63,0.06,Yee2017
94,HD 216834,344.08518,-6.54584,G8IV,5058,3.4,-0.23,Yee2017
95,HD 217681,345.63289,-11.26569,K0III,4954,3.45,0.24,Yee2017
96,HD 21774,52.81426,20.76808,G5,5692,4.25,0.2,Yee2017
97,HD 220339,350.7704,-10.76424,K2V,4954,4.56,-0.24,Yee2017
98,HD 221504,353.21108,-21.68769,G8/K0IV,5334,3.76,0.29,Yee2017
99,HD 221822,353.84642,2.22533,G8V,5420,4.57,-0.37,Yee2017
100,HD 222038,354.32251,-1.51988,G6V,5629,4.25,0.22,Yee2017
101,HD 222986,356.39592,40.4435,G5,5859,4.47,0.26,Yee2017
102,HD 224619,359.86847,-20.03471,G8+V,5454,4.49,-0.17,Yee2017
103,HD 22657,54.58527,-11.20146,K0III,4792,3.11,0.07,Yee2017
104,HD 234314,248.13215,50.18425,K0,5566,4.09,0.14,Yee2017
105,HD 23825,57.0914,10.79306,G3IV,5588,3.74,0.14,Yee2017
106,HD 238433,228.40824,57.19163,G5,4936,3.13,0.0,Yee2017
107,HD 24238,58.76601,61.16681,K2V,4951,4.54,-0.45,Yee2017
108,HD 24892,59.11945,-25.18134,K0VFe-1.2CH-0.9,5341,3.96,-0.3,Yee2017
109,HD 26007,61.54759,-23.27981,K0III/IV,4778,2.81,-0.13,Yee2017
110,HD 26161,62.4119,31.65213,G0,6033,4.15,-0.01,Yee2017
111,HD 26634,63.04665,-13.63718,G8III/IV,4902,3.03,-0.14,Yee2017
