,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name,Teff_err,logg_err,Fe_H_err
119,Gl 390,156.29515,-10.22869,dM1.0,3780,4.72,0.06,Schw2019,51.0,0.07,0.16
120,Gl 393,157.23146,0.841,dM2.0,3579,4.88,-0.09,Schw2019,51.0,0.07,0.16
121,LP 670-017,158.75466,-9.41072,dM3.0,3469,4.94,-0.02,Schw2019,51.0,0.07,0.16
122,Gl 399,159.91902,-6.92375,dM2.5,3554,4.88,-0.02,Schw2019,51.0,0.07,0.16
123,GJ 1134,160.40782,37.61088,dM4.5,3272,5.07,0.07,Schw2019,51.0,0.07,0.16
124,GJ 3626,162.60839,33.10113,dM4.0,3393,4.99,0.07,Schw2019,51.0,0.07,0.16
125,Gl 402,162.7168,6.80813,dM4.0,3345,5.03,0.01,Schw2019,51.0,0.07,0.16
126,Gl 408,165.01774,22.83296,dM2.5,3499,4.94,-0.11,Schw2019,51.0,0.07,0.16
127,Gl 410,165.65976,21.96714,dM1.0,3905,4.69,0.04,Schw2019,51.0,0.07,0.16
128,Gl 411,165.83414,35.96988,dM1.5,3601,4.87,-0.09,Schw2019,51.0,0.07,0.16
129,Gl 412A,166.36907,43.52678,dM1.0,3639,4.92,-0.3,Schw2019,51.0,0.07,0.16
130,Gl 414B,167.76057,30.44481,dM2.0,3753,4.71,0.13,Schw2019,51.0,0.07,0.16
131,GJ 3649,168.16238,18.93484,dM1.5,3645,4.86,-0.14,Schw2019,51.0,0.07,0.16
132,LP 733-099,170.02544,-10.49631,dM2.0,3542,4.95,-0.21,Schw2019,51.0,0.07,0.16
133,GJ 3666,172.23441,10.17757,dM3.5,3375,5.01,0.0,Schw2019,51.0,0.07,0.16
134,K2-18,172.56049,7.5884,dM2.5,3513,4.91,-0.03,Schw2019,51.0,0.07,0.16
135,LP 672-042,172.67427,-8.09527,dM3.5,3422,4.98,-0.01,Schw2019,51.0,0.07,0.16
136,GJ 1148,175.43598,42.75197,dM4.0,3375,4.99,0.09,Schw2019,51.0,0.07,0.16
137,Gl 436,175.54622,26.70657,dM2.5,3505,4.91,-0.04,Schw2019,51.0,0.07,0.16
138,Gl 443,176.6788,-14.01438,dM3.0,3570,4.82,0.11,Schw2019,51.0,0.07,0.16
139,GJ 3685A,176.91978,0.25558,dM4.0,3256,5.1,-0.1,Schw2019,51.0,0.07,0.16
140,Gl 445,176.92245,78.69116,dM3.5,3369,5.02,0.0,Schw2019,51.0,0.07,0.16
141,Gl 447,176.93499,0.80456,dM4.0,3264,5.09,-0.04,Schw2019,51.0,0.07,0.16
142,GJ 1151,177.74051,48.37738,dM4.5,3221,5.11,-0.05,Schw2019,51.0,0.07,0.16
143,Gl 450,177.78057,35.27201,dM1.5,3645,4.87,-0.17,Schw2019,51.0,0.07,0.16
144,GJ 3704,181.37367,69.53961,dM4.0,3338,5.02,0.1,Schw2019,51.0,0.07,0.16
145,GJ 3707,182.52334,-15.07138,dM3.5,3375,4.98,0.17,Schw2019,51.0,0.07,0.16
146,GJ 3708A,182.799,-19.96057,dM3.0,3471,4.95,-0.06,Schw2019,51.0,0.07,0.16
147,Gl 458A,183.08692,54.48576,dM0.0,3933,4.7,-0.03,Schw2019,51.0,0.07,0.16
148,StKM 2-809,183.91403,52.65242,dM4.0,3339,5.06,-0.12,Schw2019,51.0,0.07,0.16
149,GJ 1156,184.7475,11.12605,dM5.0,3115,5.15,-0.02,Schw2019,51.0,0.07,0.16
150,Gl 463,185.75067,64.03082,dM3.0,3540,4.86,0.05,Schw2019,51.0,0.07,0.16
151,Gl 465,186.21876,-18.24229,dM2.0,3485,4.98,-0.17,Schw2019,51.0,0.07,0.16
152,Gl 471,187.81584,8.81061,dM0.5,3914,4.71,-0.07,Schw2019,51.0,0.07,0.16
153,Gl 476,188.75294,9.82849,dM2.5,3572,4.85,0.02,Schw2019,51.0,0.07,0.16
154,LP 795-038,189.33986,-20.87653,dM4.0,3394,4.97,0.13,Schw2019,51.0,0.07,0.16
155,Gl 480,189.7185,11.69615,dM3.0,3439,4.96,0.0,Schw2019,51.0,0.07,0.16
156,G 123-055,190.70785,41.89643,dM4.0,3317,5.06,-0.07,Schw2019,51.0,0.07,0.16
157,Gl 486,191.98594,9.7514,dM3.5,3389,5.0,0.03,Schw2019,51.0,0.07,0.16
158,Gl 493.1,195.13967,5.68556,dM4.5,3192,5.13,-0.04,Schw2019,51.0,0.07,0.16
159,G 177-025,197.55262,47.75519,dM5.0,3157,5.16,-0.15,Schw2019,51.0,0.07,0.16
160,Gl 507.1,199.91719,33.34653,dM1.5,3812,4.67,0.18,Schw2019,51.0,0.07,0.16
161,Gl 508.2,200.24186,34.27894,dM1.0,3763,4.73,0.03,Schw2019,51.0,0.07,0.16
162,GJ 3779,200.73645,24.46767,dM4.0,3324,5.05,0.0,Schw2019,51.0,0.07,0.16
