,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
73,HD 070272,125.70887499999999,43.18836111111111,K5III,3900,1.59,-0.03,STELIB
74,HD 072184,128.22941666666665,38.016777777777776,K2III,4525,2.05,-0.05,STELIB
75,HD 072324,128.25058333333334,24.084916666666665,G9III,4743,2.06,-0.01,STELIB
76,HD 074280,130.8062083333333,3.3986666666666667,B3V,17899,3.83,-0.09,STELIB
77,HD 074739,131.67429166666668,28.76,G8Iab:,4910,2.27,-0.05,STELIB
78,HD 075732,133.15054166666667,28.33138888888889,G8V,5256,4.38,0.37,STELIB
79,HD 076151,133.57579166666665,-5.434527777777778,G3V,5728,4.4,0.04,STELIB
80,HD 076943,135.16145833333331,41.78344444444444,F5V,6575,4.03,0.07,STELIB
81,HD 077350,135.68445833333334,24.452944444444444,A0III,10506,3.6,0.1,STELIB
82,HD 077729,136.26975,26.16483333333333,K4III,4271,2.0,-0.4,STELIB
83,HD 078316,136.93675,10.668222222222221,B8IIImnp,13449,3.61,0.12,STELIB
84,HD 078418,137.1975833333333,26.63,G5IV,5659,4.05,-0.26,STELIB
85,HD 079158,138.45095833333332,43.21791666666667,B8IIImnp,13727,3.66,0.63,STELIB
86,HD 079452,138.80983333333333,34.63338888888889,G6III,5072,2.2,-0.65,STELIB
87,HD 080081,139.71112499999998,36.80288888888889,A1V,,,,STELIB*
88,HD 081192,141.189125,19.78688888888889,G7III,4692,2.59,-0.64,STELIB
89,HD 081809,141.94549999999995,-6.071027777777777,G2V,5610,3.93,-0.3,STELIB
90,HD 082210,143.6207083333333,69.83016666666666,G4III-IV,5253,3.43,-0.34,STELIB
91,HD 083632,145.14204166666664,26.004,K2III,4308,1.0,-1.3,STELIB
92,HD 084937,147.23279166666666,13.746138888888888,sdF5,6257,4.04,-2.17,STELIB
93,HD 085235,148.0265,54.064277777777775,A3IV,11200,3.55,-0.4,STELIB
94,HD 086161,148.72045833333334,-57.72730555555556,WN,,,,STELIB*
95,HD 086728,150.25425,31.924722222222222,G1V,5737,4.25,0.12,STELIB
96,HD 086986,150.62283333333332,14.557500000000001,A1V,7867,3.15,-1.77,STELIB
97,HD 087141,151.15145833333332,53.89172222222222,F5V,6369,3.99,0.09,STELIB
98,HD 087737,151.83312499999997,16.762666666666668,A0Ib,9806,1.95,-0.01,STELIB
99,HD 087696,151.85720833333332,35.24469444444445,A7V,,,,STELIB*
100,HD 087822,152.06641666666664,31.604277777777778,F4V,6615,4.07,0.17,STELIB
101,HD 087901,152.09358333333333,11.967194444444445,B7V,12540,,,STELIB*
102,HD 088355,152.909125,13.355194444444445,F7V,6423,,0.0,STELIB
103,HD 088609,153.62075,53.561,G5IIIwe,4560,1.17,-2.75,STELIB
104,HD 089025,154.17249999999999,23.417333333333335,F0III,6965,,,STELIB*
105,HD 089254,154.40791666666664,-8.068916666666667,F2III,7106,3.76,0.09,STELIB
106,HD 089758,155.58249999999998,41.49944444444444,M0III,3700,1.35,0.0,STELIB
107,HD 090277,156.47862499999997,33.79625,F0V,8937,3.46,0.18,STELIB
108,HD 090508,157.01587499999997,48.787055555555554,G1V,5735,4.35,-0.32,STELIB
109,HD 090537,156.97120833333332,36.70747222222222,G8III-IV,5061,2.95,0.01,STELIB
110,HD 090839,157.6573333333333,55.980611111111116,F8V,6052,4.36,-0.18,STELIB
111,HD 091316,158.20283333333333,9.306583333333334,B1Ib,24200,3.09,-0.89,STELIB
112,HD 092740,160.32299999999998,-59.67691666666666,WNs...,,,,STELIB*
113,HD 092809,160.4097083333333,-58.77188888888889,WC,,,,STELIB*
