,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name,Teff_err,logg_err,Fe_H_err
55,G 112-54,118.64241666666665,-1.41225,G8V,5200,4.4,-0.86,CFLIB,0.0,0.0,0.0
56,G 114-18,132.33837499999998,3.684,G5,5426,4.5,-0.07,CFLIB,0.0,0.0,0.0
57,G 119-32,161.8465,28.39886111111111,F5,5700,4.5,-1.98,CFLIB,0.0,0.0,0.0
58,G 119-64,168.19999999999996,35.728861111111115,G0,6349,4.79,-1.15,CFLIB,0.0,0.0,0.0
59,G 122-39,174.77591666666663,44.305638888888886,G0,5504,4.68,-0.4,CFLIB,0.0,0.0,0.0
60,G 122-51,178.24487499999998,37.71866666666667,G8Vp,5110,4.67,-1.35,CFLIB,0.0,0.0,0.0
61,G 122-66,180.6205,43.08408333333333,G8Vw...,4982,2.74,-0.48,CFLIB,0.0,0.0,0.0
62,G 123-29,186.19120833333332,38.31875,G0V,5725,4.4,-0.86,CFLIB,0.0,0.0,0.0
63,G 124-40,216.70116666666664,-5.177777777777778,K0,5500,4.2,0.55,CFLIB,0.0,0.0,0.0
64,G 125-4,289.7522916666666,41.63461111111111,K0V,5160,4.43,-0.62,CFLIB,0.0,0.0,0.0
65,G 126-62,332.8807083333333,18.09283333333333,sdF8,6000,4.0,-1.65,CFLIB,0.0,0.0,0.0
66,G 136-45,225.14583333333331,8.600166666666667,G0,5309,4.0,-0.68,CFLIB,0.0,0.0,0.0
67,G 139-48,263.67941666666667,6.014333333333333,G0V,5750,4.4,-0.82,CFLIB,0.0,0.0,0.0
68,G 140-5,264.93995833333327,2.4165555555555556,A5,6140,4.31,-2.15,CFLIB,0.0,0.0,0.0
69,G 143-17,298.79033333333336,10.740944444444443,G5Vw,5325,4.6,-1.67,CFLIB,0.0,0.0,0.0
70,G 144-6,306.5496666666666,9.450111111111111,F7V-VI,6058,4.33,-1.12,CFLIB,0.0,0.0,0.0
71,G 149-25,194.38324999999998,18.693444444444445,K0,5425,4.0,-0.53,CFLIB,0.0,0.0,0.0
72,G 160-27,57.67337499999999,-4.622305555555556,G0,5354,4.0,-0.76,CFLIB,0.0,0.0,0.0
73,G 161-29,141.42916666666662,-6.773333333333333,K:,5100,4.3,0.1,CFLIB,0.0,0.0,0.0
74,G 162-13,150.494125,-10.40538888888889,K2,5300,4.7,0.27,CFLIB,0.0,0.0,0.0
75,G 163-78,171.07233333333332,-1.5290833333333333,K0,5400,4.2,0.45,CFLIB,0.0,0.0,0.0
76,G 165-11,203.12904166666664,36.03513888888889,G0,5725,4.0,-0.56,CFLIB,0.0,0.0,0.0
77,G 165-39,209.78949999999998,33.86094444444445,A4,6330,4.03,-1.96,CFLIB,0.0,0.0,0.0
78,G 166-25,216.3755,20.590166666666665,F9V,5753,4.2,-0.63,CFLIB,0.0,0.0,0.0
79,G 166-45,222.2598333333333,25.702555555555556,A5,5875,4.1,-2.48,CFLIB,0.0,0.0,0.0
80,G 170-47,263.17341666666664,23.736555555555558,G0,5150,2.0,-2.51,CFLIB,0.0,0.0,0.0
81,G 175-33,66.85295833333333,46.85316666666667,G0,5492,4.5,0.13,CFLIB,0.0,0.0,0.0
82,G 176-11,166.36908333333332,43.526777777777774,M0.5,3544,4.85,0.0,CFLIB,0.0,0.0,0.0
83,G 180-35,242.60129166666664,43.817638888888894,K0V,5312,4.4,0.46,CFLIB,0.0,0.0,0.0
84,G 181-47,261.68,31.077194444444444,G1V,5625,4.0,-0.64,CFLIB,0.0,0.0,0.0
85,G 182-19,264.9036249999999,37.183749999999996,G0V,5675,4.1,-0.64,CFLIB,0.0,0.0,0.0
86,G 183-11,268.680125,20.27122222222222,F0,6175,4.0,-2.11,CFLIB,0.0,0.0,0.0
87,G 193-33,107.62412499999999,53.251777777777775,G0,5594,4.0,-0.73,CFLIB,0.0,0.0,0.0
88,G 196-33,158.46066666666664,49.186166666666665,F8,5872,4.24,-0.48,CFLIB,0.0,0.0,0.0
89,G 196-48,162.73591666666667,53.24755555555556,G,5601,4.0,-1.88,CFLIB,0.0,0.0,0.0
90,G 196-9,152.84224999999998,49.45425,K5,4000,4.5,0.28,CFLIB,0.0,0.0,0.0
91,G 197-45,182.36666666666665,51.931666666666665,G5,5139,4.0,-0.92,CFLIB,0.0,0.0,0.0
92,G 197-56,185.3672083333333,61.74725,G2V,5491,4.0,-0.85,CFLIB,0.0,0.0,0.0
93,G 200-36,216.20391666666666,41.27511111111111,G5,5472,4.7,0.06,CFLIB,0.0,0.0,0.0
94,G 200-62,223.79599999999996,53.68033333333333,K1V,5091,4.5,-0.55,CFLIB,0.0,0.0,0.0
95,G 205-5,272.4059166666666,38.45777777777778,K2V,4846,4.5,-0.2,CFLIB,0.0,0.0,0.0
96,G 207-5,282.85491666666667,38.626583333333336,F8,5863,4.33,-0.54,CFLIB,0.0,0.0,0.0
97,G 212-10,314.2000833333333,42.89566666666666,K0III-IV,4803,2.94,-0.1,CFLIB,0.0,0.0,0.0
98,G 223-65,217.15754166666665,49.844861111111115,G3IV,5350,3.5,-0.59,CFLIB,0.0,0.0,0.0
99,G 227-46,280.6945416666666,59.63038888888889,M3V,,,,CFLIB*,0.0,0.0,0.0
100,G 229-34,293.01054166666665,50.181555555555555,F8,5656,4.2,-0.22,CFLIB,0.0,0.0,0.0
101,G 230-49,311.6478333333333,59.85263888888889,G0,5602,4.0,-0.81,CFLIB,0.0,0.0,0.0
102,G 237-84,194.70529166666665,68.78525,G0,5341,4.0,-0.67,CFLIB,0.0,0.0,0.0
